     istep   total_energy_diff     max_eigval_diff      max_delta_diff                 miu
        72    4.5952089582E-10    5.6072087529E-09    1.0144645427E-06   -4.7388835260E-01
        73    4.4649499162E-10    5.5279994471E-09    9.9873507010E-07   -4.7388835216E-01
        74    4.3405411812E-10    5.4503120905E-09    9.8324498474E-07   -4.7388835172E-01
        75    4.2212870598E-10    5.3740693007E-09    9.6799081540E-07   -4.7388835129E-01
        76    4.1070220210E-10    5.2992005783E-09    9.5296915232E-07   -4.7388835087E-01
        77    3.9973964817E-10    5.2256404759E-09    9.3817664153E-07   -4.7388835046E-01
        78    3.8920759071E-10    5.1533303180E-09    9.2360998094E-07   -4.7388835006E-01
        79    3.7910336734E-10    5.0822153153E-09    9.0926591668E-07   -4.7388834966E-01
        80    3.6937523513E-10    5.0122460626E-09    8.9514124026E-07   -4.7388834927E-01
        81    3.6001022943E-10    4.9433764859E-09    8.8123278612E-07   -4.7388834888E-01
        82    3.5100209939E-10    4.8755652293E-09    8.6753742994E-07   -4.7388834851E-01
        83    3.4230928863E-10    4.8087731574E-09    8.5405208680E-07   -4.7388834814E-01
        84    3.3392369423E-10    4.7429658534E-09    8.4077371010E-07   -4.7388834777E-01
        85    3.2583975991E-10    4.6781105101E-09    8.2769929063E-07   -4.7388834742E-01
        86    3.1802148555E-10    4.6141770405E-09    8.1482585539E-07   -4.7388834706E-01
        87    3.1047350139E-10    4.5511384661E-09    8.0215046748E-07   -4.7388834672E-01
        88    3.0317034112E-10    4.4889691408E-09    7.8967022506E-07   -4.7388834638E-01
        89    2.9610343880E-10    4.4276453059E-09    7.7738226147E-07   -4.7388834605E-01
        90    2.8926214487E-10    4.3671463668E-09    7.6528374443E-07   -4.7388834572E-01
        91    2.8264564905E-10    4.3074513956E-09    7.5337187613E-07   -4.7388834540E-01
        92    2.7622420205E-10    4.2485422957E-09    7.4164389282E-07   -4.7388834508E-01
        93    2.6999398392E-10    4.1904019144E-09    7.3009706469E-07   -4.7388834477E-01
        94    2.6395985642E-10    4.1330138756E-09    7.1872869590E-07   -4.7388834446E-01
        95    2.5809681625E-10    4.0763633580E-09    7.0753612408E-07   -4.7388834416E-01
        96    2.5240833608E-10    4.0204367613E-09    6.9651672058E-07   -4.7388834387E-01
        97    2.4689372140E-10    3.9652204853E-09    6.8566789013E-07   -4.7388834358E-01
        98    2.4150539648E-10    3.9107029282E-09    6.7498707077E-07   -4.7388834329E-01
        99    2.3630158659E-10    3.8568722105E-09    6.6447173377E-07   -4.7388834301E-01
       100    2.3122360344E-10    3.8037171746E-09    6.5411938349E-07   -4.7388834273E-01
       101    2.2628128630E-10    3.7512283835E-09    6.4392755720E-07   -4.7388834246E-01
       102    2.2148459017E-10    3.6993954566E-09    6.3389382491E-07   -4.7388834219E-01
       103    2.1680885904E-10    3.6482096233E-09    6.2401578927E-07   -4.7388834193E-01
       104    2.1225281959E-10    3.5976617241E-09    6.1429108535E-07   -4.7388834167E-01
       105    2.0783128859E-10    3.5477435989E-09    6.0471738061E-07   -4.7388834142E-01
       106    2.0350351992E-10    3.4984473651E-09    5.9529237433E-07   -4.7388834117E-01
