 istep =  100001
     ik     ic     iv              Real              Imag               Abs
     90      1      1  -6.914599361E-03  -1.085362830E-04   6.915451139E-03
     91      1      1  -6.537095941E-03  -6.789687899E-05   6.537448534E-03
     92      1      1  -6.202379671E-03  -7.702774522E-05   6.202857958E-03
     93      1      1  -5.899045887E-03  -4.207964911E-05   5.899195968E-03
     94      1      1  -5.617290467E-03   1.218278264E-04   5.618611413E-03
     95      1      1  -5.349614975E-03   1.022573073E-04   5.350592204E-03
     96      1      1  -5.082500761E-03   1.204710179E-04   5.083928328E-03
     97      1      1  -4.793662861E-03   1.319412307E-04   4.795478299E-03
     98      1      1  -4.917003601E-03  -5.938852138E-04   4.952739046E-03
     99      1      1  -5.248924095E-03  -6.251260016E-04   5.286018035E-03
    100      1      1  -5.551884596E-03  -6.402966847E-04   5.588685213E-03
    101      1      1  -5.840848649E-03  -7.370466160E-04   5.887168305E-03
    102      1      1  -6.146250357E-03  -8.039181571E-04   6.198602895E-03
    103      1      1  -6.473710114E-03  -8.259032547E-04   6.526181029E-03
    104      1      1  -6.829283185E-03  -8.194997157E-04   6.878276572E-03
    105      1      1  -7.214673790E-03  -8.622943518E-04   7.266021569E-03
    106      1      1  -7.604842584E-03  -9.085405312E-04   7.658921375E-03
    107      1      1  -8.145411895E-03  -9.337965533E-04   8.198762769E-03
    108      1      1  -8.743507542E-03  -1.066443458E-03   8.808304365E-03
    109      1      1  -9.446772194E-03  -1.024344761E-03   9.502146445E-03
    110      1      1  -1.024367959E-02  -1.089773371E-03   1.030148424E-02
    111      1      1  -1.115435647E-02  -1.217947696E-03   1.122065350E-02
    112      1      1  -1.220613072E-02  -1.378767182E-03   1.228375456E-02
    113      1      1  -1.340498973E-02  -1.656854881E-03   1.350699514E-02
    114      1      1  -1.483605594E-02  -1.703938767E-03   1.493358508E-02
    115      1      1  -1.654513293E-02  -1.858538180E-03   1.664919180E-02
    116      1      1  -1.870917873E-02  -2.114059878E-03   1.882823991E-02
    117      1      1  -2.157129013E-02  -2.371773862E-03   2.170128727E-02
    118      1      1  -2.509998361E-02  -2.593825614E-03   2.523365032E-02
    119      1      1  -2.939163261E-02  -3.238915301E-03   2.956955597E-02
    120      1      1  -3.457098442E-02  -3.791871809E-03   3.477831589E-02
    121      1      1  -4.069335504E-02  -4.423025374E-03   4.093302209E-02
    122      1      1  -4.768208943E-02  -4.999089654E-03   4.794343073E-02
    123      1      1  -5.527545653E-02  -5.777575345E-03   5.557658204E-02
    124      1      1  -6.300135709E-02  -6.340346024E-03   6.331959399E-02
    125      1      1  -7.010293119E-02  -7.194795536E-03   7.047117173E-02
    126      1      1  -7.590747788E-02  -7.569440253E-03   7.628395391E-02
    127      1      1  -7.879729926E-02  -7.587206425E-03   7.916173363E-02
    128      1      1  -7.871735937E-02  -7.427039550E-03   7.906695633E-02
    129      1      1  -7.531256347E-02  -7.671692674E-03   7.570229247E-02
    130      1      1  -6.450348674E-02  -9.751291508E-03   6.523639695E-02
    131      1      1  -3.489487612E-02  -1.426305453E-02   3.769730897E-02
    132      1      1   3.409920788E-02  -1.046477487E-02   3.566885884E-02
    133      1      1   2.765399527E-02  -1.041748966E-02   2.955110058E-02
    134      1      1   4.278940332E-02  -5.722760289E-03   4.317039520E-02
    135      1      1   4.118923436E-02  -5.958796685E-03   4.161802836E-02
    136      1      1   3.746109195E-02  -4.932411961E-03   3.778441607E-02
    137      1      1   3.303418429E-02  -5.990231265E-03   3.357290875E-02
    138      1      1   2.928545803E-02  -6.480509633E-03   2.999391700E-02
